Day of Created At,Id,Type,Teams Count
"11 February, 2017",880,student,0
"11 February, 2017",881,student,0
"11 February, 2017",884,student,0
"11 February, 2017",885,student,0
"11 February, 2017",887,student,0
"11 February, 2017",888,student,0
"11 February, 2017",889,student,0
"11 February, 2017",890,student,0
"11 February, 2017",891,student,0
"11 February, 2017",892,student,0
"11 February, 2017",893,student,0
"11 February, 2017",894,student,0
"11 February, 2017",895,student,0
"11 February, 2017",896,student,1
"11 February, 2017",897,student,0
"11 February, 2017",898,student,0
"11 February, 2017",900,student,0
"11 February, 2017",901,student,0
"11 February, 2017",902,student,0
"11 February, 2017",904,student,0
"11 February, 2017",905,student,0
"11 February, 2017",906,student,0
"11 February, 2017",907,student,0
"11 February, 2017",908,student,0
"11 February, 2017",909,student,0
"11 February, 2017",912,student,0
"11 February, 2017",914,student,0
"11 February, 2017",915,student,0
"11 February, 2017",916,student,0
"11 February, 2017",917,student,0
"11 February, 2017",919,student,0
"11 February, 2017",920,student,1
"11 February, 2017",921,student,0
"11 February, 2017",922,student,1
"11 February, 2017",923,student,0
"11 February, 2017",924,student,0
"11 February, 2017",925,student,0
"11 February, 2017",926,student,0
"11 February, 2017",929,student,0
"11 February, 2017",930,student,0
"11 February, 2017",931,student,0
"11 February, 2017",932,student,0
"11 February, 2017",933,student,0
"11 February, 2017",935,student,0
"11 February, 2017",936,student,1
"11 February, 2017",937,student,1
"11 February, 2017",938,student,3
"11 February, 2017",940,student,0
"11 February, 2017",941,student,1
"11 February, 2017",942,student,2
"11 February, 2017",943,student,0
"11 February, 2017",944,student,0
"11 February, 2017",946,student,0
"11 February, 2017",947,student,0
"11 February, 2017",948,student,0
"11 February, 2017",949,student,0
"11 February, 2017",950,student,0
"11 February, 2017",951,student,0
"11 February, 2017",952,student,0
"11 February, 2017",953,student,0
"11 February, 2017",954,student,1
"11 February, 2017",955,student,0
"11 February, 2017",956,student,0
"11 February, 2017",957,student,0
"11 February, 2017",959,student,1
"11 February, 2017",961,student,0
"11 February, 2017",963,student,0
"11 February, 2017",964,student,0
"11 February, 2017",965,student,0
"11 February, 2017",966,student,0
"11 February, 2017",967,student,0
"11 February, 2017",968,student,0
"11 February, 2017",969,student,0
"11 February, 2017",970,student,0
"11 February, 2017",971,student,0
"11 February, 2017",972,student,0
